,postalCode,typeProperty,subtypeProperty,price,typeSale,subtypeSale,BedroomsCount,area,hasFullyEquippedKitchen,kitchenType,isFurnished,fireplaceExists,hasTerrace,terraceSurface,hasGarden,gardenSurface,landSurface,facadeCount,hasSwimmingPool,buildingCondition
0,1150,HOUSE,HOUSE,990000.0,FOR_SALE,BUY_REGULAR,6.0,485.0,0.0,HYPER_EQUIPPED,0,0,1,16.0,0,,251,2.0,0,AS_NEW
1,5030,HOUSE,HOUSE,250000.0,FOR_SALE,BUY_REGULAR,2.0,81.0,0.0,SEMI_EQUIPPED,0,1,1,25.0,1,400.0,633,3.0,0,TO_BE_DONE_UP
2,3000,HOUSE,HOUSE,395000.0,FOR_SALE,BUY_REGULAR,3.0,104.0,0.0,INSTALLED,1,0,1,6.0,0,,49,2.0,0,GOOD
3,1600,HOUSE,HOUSE,410000.0,FOR_SALE,BUY_REGULAR,2.0,130.0,0.0,USA_HYPER_EQUIPPED,1,0,1,10.0,1,70.0,250,3.0,0,AS_NEW
4,4520,HOUSE,HOUSE,309000.0,FOR_SALE,BUY_REGULAR,5.0,170.0,0.0,SEMI_EQUIPPED,0,0,1,20.0,1,600.0,891,4.0,0,GOOD
5,4520,HOUSE,VILLA,309000.0,FOR_SALE,BUY_REGULAR,5.0,170.0,0.0,SEMI_EQUIPPED,0,0,1,20.0,1,600.0,891,4.0,0,GOOD
6,1180,HOUSE,HOUSE,660000.0,FOR_SALE,BUY_REGULAR,4.0,200.0,0.0,USA_SEMI_EQUIPPED,0,1,0,,1,96.0,323,3.0,0,GOOD
7,1780,HOUSE,HOUSE,745000.0,FOR_SALE,BUY_REGULAR,5.0,287.0,0.0,HYPER_EQUIPPED,0,0,1,40.0,1,510.0,661,4.0,0,AS_NEW
8,1200,HOUSE,MANSION,2495000.0,FOR_SALE,BUY_REGULAR,6.0,460.0,0.0,HYPER_EQUIPPED,0,0,1,48.0,0,,561,2.0,0,AS_NEW
9,2850,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
10,9600,HOUSE,VILLA,349000.0,FOR_SALE,BUY_REGULAR,4.0,186.0,0.0,HYPER_EQUIPPED,0,0,1,30.0,1,485.0,992,4.0,0,GOOD
11,1457,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
12,9400,HOUSE,VILLA,460000.0,FOR_SALE,BUY_REGULAR,4.0,225.0,0.0,INSTALLED,0,0,1,,0,,1635,4.0,0,GOOD
13,3060,HOUSE,EXCEPTIONAL_PROPERTY,845000.0,FOR_SALE,BUY_REGULAR,4.0,400.0,0.0,USA_HYPER_EQUIPPED,0,0,1,50.0,1,1500.0,1869,4.0,0,GOOD
14,4630,HOUSE,HOUSE,184000.0,FOR_SALE,BUY_REGULAR,3.0,140.0,0.0,NOT_INSTALLED,0,0,0,,1,20.0,177,3.0,0,GOOD
15,1730,HOUSE,MIXED_USE_BUILDING,889000.0,FOR_SALE,BUY_REGULAR,4.0,302.0,0.0,USA_HYPER_EQUIPPED,0,0,1,,0,,4529,4.0,0,AS_NEW
16,9600,HOUSE,HOUSE,119500.0,FOR_SALE,BUY_REGULAR,2.0,115.0,0.0,INSTALLED,0,0,0,,0,,50,2.0,0,GOOD
17,9000,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
18,2820,HOUSE,HOUSE,425000.0,FOR_SALE,BUY_REGULAR,4.0,182.0,0.0,USA_HYPER_EQUIPPED,0,0,1,30.0,1,117.0,175,2.0,0,AS_NEW
19,1050,HOUSE,APARTMENT_BLOCK,1390000.0,FOR_SALE,BUY_REGULAR,5.0,350.0,0.0,USA_HYPER_EQUIPPED,1,0,1,54.0,1,40.0,150,2.0,0,AS_NEW
20,4577,HOUSE,HOUSE,295000.0,FOR_SALE,BUY_REGULAR,3.0,120.0,0.0,INSTALLED,0,0,1,,0,,3220,4.0,0,GOOD
21,4260,HOUSE,HOUSE,350000.0,FOR_SALE,BUY_REGULAR,4.0,190.0,0.0,INSTALLED,0,0,1,,1,,1355,4.0,0,AS_NEW
22,9700,HOUSE,HOUSE,359000.0,FOR_SALE,BUY_REGULAR,3.0,196.0,0.0,INSTALLED,0,0,1,,1,667.0,921,4.0,0,GOOD
23,1190,HOUSE,MANSION,1295000.0,FOR_SALE,BUY_REGULAR,6.0,400.0,,,0,0,1,,1,100.0,245,2.0,0,TO_RENOVATE
24,7180,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
25,1370,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
26,9600,HOUSE,HOUSE,259500.0,FOR_SALE,BUY_REGULAR,4.0,152.0,0.0,NOT_INSTALLED,0,0,1,15.0,1,149.0,216,2.0,0,AS_NEW
27,1170,HOUSE,HOUSE,470000.0,FOR_SALE,BUY_REGULAR,3.0,130.0,0.0,HYPER_EQUIPPED,0,0,0,,1,30.0,83,2.0,0,GOOD
28,8790,HOUSE,HOUSE,289000.0,FOR_SALE,BUY_REGULAR,3.0,120.0,0.0,INSTALLED,0,0,1,,0,,311,3.0,0,GOOD
29,9600,HOUSE,MANSION,220000.0,FOR_SALE,BUY_REGULAR,3.0,189.0,0.0,INSTALLED,0,0,1,25.0,1,75.0,231,2.0,0,TO_BE_DONE_UP
30,1070,HOUSE,APARTMENT_BLOCK,399000.0,FOR_SALE,BUY_REGULAR,3.0,190.0,0.0,USA_HYPER_EQUIPPED,0,0,1,5.0,0,,50,2.0,0,GOOD
31,9600,HOUSE,HOUSE,620000.0,FOR_SALE,BUY_REGULAR,4.0,393.0,0.0,HYPER_EQUIPPED,0,1,1,40.0,1,434.0,569,2.0,0,GOOD
32,7911,HOUSE,HOUSE,280000.0,FOR_SALE,BUY_REGULAR,4.0,250.0,0.0,SEMI_EQUIPPED,0,1,1,,0,,1246,3.0,0,TO_BE_DONE_UP
33,4257,HOUSE,BUNGALOW,350000.0,FOR_SALE,BUY_REGULAR,2.0,120.0,0.0,USA_HYPER_EQUIPPED,0,0,1,,1,600.0,990,4.0,0,AS_NEW
34,1560,HOUSE,EXCEPTIONAL_PROPERTY,1045000.0,FOR_SALE,BUY_REGULAR,4.0,400.0,0.0,HYPER_EQUIPPED,0,0,1,88.0,1,1000.0,1408,4.0,0,AS_NEW
35,2850,HOUSE,HOUSE,290000.0,FOR_SALE,BUY_REGULAR,3.0,112.0,0.0,INSTALLED,0,0,0,,1,74.0,137,3.0,0,JUST_RENOVATED
36,1040,HOUSE,HOUSE,595000.0,FOR_SALE,BUY_REGULAR,4.0,216.0,,,0,0,1,14.0,1,45.0,157,2.0,0,TO_RENOVATE
37,1150,HOUSE,HOUSE,650000.0,FOR_SALE,BUY_REGULAR,4.0,192.0,0.0,INSTALLED,0,0,1,,1,90.0,189,2.0,0,GOOD
38,1210,HOUSE,HOUSE,745000.0,FOR_SALE,BUY_REGULAR,5.0,250.0,0.0,HYPER_EQUIPPED,0,0,1,10.0,1,50.0,119,2.0,0,GOOD
39,8720,HOUSE,HOUSE,299000.0,FOR_SALE,BUY_REGULAR,3.0,135.0,0.0,INSTALLED,0,0,0,,0,,115,2.0,0,JUST_RENOVATED
40,5300,HOUSE,HOUSE,235000.0,FOR_SALE,BUY_REGULAR,4.0,130.0,0.0,INSTALLED,0,0,1,20.0,1,,857,4.0,0,TO_BE_DONE_UP
41,1701,HOUSE,HOUSE,299000.0,FOR_SALE,BUY_REGULAR,3.0,156.0,0.0,NOT_INSTALLED,0,0,1,11.0,1,80.0,153,2.0,0,TO_BE_DONE_UP
42,9600,HOUSE,HOUSE,179000.0,FOR_SALE,BUY_REGULAR,2.0,145.0,0.0,HYPER_EQUIPPED,0,0,1,28.0,0,,140,2.0,0,GOOD
43,7860,HOUSE,HOUSE,110000.0,FOR_SALE,BUY_REGULAR,3.0,120.0,0.0,SEMI_EQUIPPED,0,0,0,,0,,179,2.0,0,TO_RENOVATE
44,9404,HOUSE,HOUSE,199000.0,FOR_SALE,BUY_REGULAR,3.0,135.0,0.0,SEMI_EQUIPPED,0,0,1,,0,,361,3.0,0,TO_BE_DONE_UP
45,1700,HOUSE,HOUSE,515000.0,FOR_SALE,BUY_REGULAR,4.0,210.0,0.0,NOT_INSTALLED,0,0,1,6.0,0,,695,4.0,0,TO_RENOVATE
46,1420,HOUSE,VILLA,1125000.0,FOR_SALE,BUY_REGULAR,5.0,461.0,0.0,HYPER_EQUIPPED,0,0,1,45.0,1,2974.0,3240,4.0,0,GOOD
47,5300,HOUSE,VILLA,270000.0,FOR_SALE,BUY_REGULAR,3.0,147.0,0.0,USA_SEMI_EQUIPPED,0,0,1,10.0,1,700.0,852,4.0,0,TO_BE_DONE_UP
48,4570,HOUSE,HOUSE,309000.0,FOR_SALE,BUY_REGULAR,5.0,250.0,0.0,SEMI_EQUIPPED,0,1,1,300.0,1,750.0,1700,4.0,0,GOOD
49,1082,HOUSE,MANSION,360000.0,FOR_SALE,BUY_REGULAR,4.0,147.0,0.0,NOT_INSTALLED,0,0,1,10.0,1,70.0,150,2.0,0,TO_RENOVATE
50,1000,HOUSE,HOUSE,787500.0,FOR_SALE,BUY_REGULAR,4.0,409.0,,,0,1,0,,0,,573,3.0,0,TO_RENOVATE
51,1150,HOUSE,HOUSE,825000.0,FOR_SALE,BUY_REGULAR,3.0,222.0,0.0,HYPER_EQUIPPED,0,0,1,20.0,0,,555,4.0,0,TO_RENOVATE
52,9600,HOUSE,MANSION,128000.0,FOR_SALE,BUY_REGULAR,4.0,152.0,0.0,SEMI_EQUIPPED,0,0,0,,0,,80,2.0,0,TO_RENOVATE
53,1702,HOUSE,HOUSE,459000.0,FOR_SALE,BUY_REGULAR,5.0,204.0,0.0,INSTALLED,0,0,1,,0,,592,3.0,0,GOOD
54,2800,HOUSE,HOUSE,875000.0,FOR_SALE,BUY_REGULAR,2.0,259.0,0.0,HYPER_EQUIPPED,0,0,1,40.0,0,,98,2.0,0,AS_NEW
55,1880,HOUSE,APARTMENT_BLOCK,995000.0,FOR_SALE,BUY_REGULAR,6.0,472.0,0.0,SEMI_EQUIPPED,0,1,1,72.0,0,,427,3.0,0,GOOD
